Primary Purpose,Design Style,Furniture Type,Room Size,Dimension Constraints,Budget,Eco-Friendly,Storage Needs,Easy Assembly,Children or Pets,Comfort vs Practicality,Specific Requests,Recommended Furniture
Sleep,Industrial,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'Table']"
Play,Minimalist,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Sleep,Traditional,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Sleep,Rustic,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Dining,Minimalist,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Dining,Minimalist,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Traditional,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Chair']"
Sleep,Rustic,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Play,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Play,Rustic,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,Easy to clean,"['Sofa', 'TV']"
Dining,Traditional,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Chair']"
Work,Minimalist,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Table']"
Sleep,Minimalist,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'Chair']"
Play,Modern,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Dining,Industrial,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Play,Traditional,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Sleep,Modern,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,No,Yes,No,Practical,None,"['Sofa', 'Lamp']"
Sleep,Industrial,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Relax,Traditional,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV']"
Work,Rustic,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Table', 'Table']"
Relax,Industrial,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'TV', 'Table', 'Chair']"
Dining,Minimalist,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,No,Practical,Durable,"['Sofa', 'Lamp', 'Table']"
Play,Modern,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Table']"
Dining,Industrial,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,No,No,No,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Sleep,Industrial,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Relax,Minimalist,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,Yes,Yes,Practical,None,"['Sofa', 'TV', 'Lamp', 'Table']"
Relax,Traditional,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,No,No,No,Practical,Durable,"['Sofa', 'TV', 'Lamp']"
Relax,Rustic,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'TV', 'Chair']"
Dining,Minimalist,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Practical,None,"['Sofa', 'Lamp']"
Sleep,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,No,Yes,Comfortable,None,"['Sofa', 'Chair']"
Play,Traditional,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Play,Industrial,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,No,No,Practical,Durable,"['Sofa', 'Table']"
Dining,Rustic,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Relax,Modern,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Lamp']"
Work,Modern,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Practical,None,"['Sofa', 'Table', 'Table']"
Dining,Minimalist,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'Lamp']"
Dining,Traditional,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Sleep,Minimalist,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Play,Minimalist,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Practical,Durable,"['Sofa', 'Lamp']"
Dining,Minimalist,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'Table']"
Dining,Modern,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Table', 'Chair']"
Relax,Modern,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,No,No,Practical,Easy to clean,"['Sofa', 'TV', 'Lamp', 'Table']"
Relax,Minimalist,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Table']"
Work,Modern,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Lamp']"
Sleep,Traditional,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Practical,Durable,"['Sofa', 'Table']"
Work,Minimalist,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Modern,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'TV', 'Chair']"
Play,Rustic,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,No,Practical,Durable,"['Sofa', 'Window']"
Relax,Minimalist,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'TV', 'Chair']"
Sleep,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Relax,Traditional,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Comfortable,Durable,"['Sofa', 'TV', 'Table', 'Chair']"
Sleep,Industrial,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'Chair']"
Sleep,Industrial,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Sleep,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'Chair']"
Sleep,Traditional,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Practical,Easy to clean,"['Sofa', 'Table']"
Sleep,Traditional,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'Lamp']"
Play,Industrial,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Work,Traditional,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,No,Practical,Easy to clean,"['Sofa', 'Table']"
Dining,Modern,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Work,Minimalist,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,No,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Sleep,Minimalist,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Lamp', 'Table']"
Play,Rustic,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Relax,Rustic,Ready-made,Less than 10 sqm,No,More than 5000 SAR,No,Yes,No,Yes,Practical,Durable,"['Sofa', 'TV', 'Lamp', 'Table']"
Play,Minimalist,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Durable,"['Sofa', 'Chair']"
Sleep,Modern,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,Yes,Practical,Durable,"['Sofa', 'Table']"
Play,Industrial,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Practical,None,"['Sofa', 'Table']"
Play,Industrial,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Sleep,Modern,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,No,No,Yes,Comfortable,Durable,"['Sofa', 'Lamp', 'Chair']"
Play,Industrial,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Dining,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'Chair']"
Dining,Minimalist,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Table', 'Chair']"
Play,Minimalist,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,None,"['Sofa', 'Chair']"
Relax,Modern,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,None,"['Sofa', 'TV', 'Chair']"
Sleep,Industrial,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Dining,Rustic,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,No,Practical,None,"['Sofa', 'TV']"
Relax,Rustic,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,No,No,Practical,None,"['Sofa', 'TV', 'Lamp']"
Play,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'Lamp', 'Table']"
Relax,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,Easy to clean,"['Sofa', 'TV']"
Work,Modern,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Practical,Durable,"['Sofa', 'Table']"
Dining,Modern,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Industrial,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Chair']"
Sleep,Rustic,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'Table']"
Play,Modern,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Chair']"
Sleep,Modern,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Durable,"['Sofa', 'Chair']"
Play,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Relax,Traditional,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'TV', 'Table', 'Chair']"
Relax,Modern,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV', 'Lamp']"
Relax,Industrial,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,No,No,Practical,Durable,"['Sofa', 'TV', 'Lamp', 'Table']"
Work,Minimalist,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,Yes,No,Practical,Durable,"['Sofa', 'Table', 'Lamp', 'Table']"
Sleep,Minimalist,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Relax,Modern,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Practical,Easy to clean,"['Sofa', 'TV', 'Table']"
Work,Modern,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,No,Yes,Yes,No,Practical,None,"['Sofa', 'Table', 'Lamp', 'Table']"
Sleep,Modern,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Play,Industrial,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Lamp', 'Table']"
Work,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'Table', 'Table']"
Dining,Modern,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Lamp', 'Table']"
Work,Modern,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,Yes,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Work,Rustic,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Sleep,Industrial,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV']"
Play,Modern,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Dining,Rustic,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,No,Yes,No,Comfortable,None,"['Sofa', 'Chair']"
Relax,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Practical,Durable,"['Sofa', 'TV', 'Table']"
Relax,Modern,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,None,"['Sofa', 'TV', 'Table', 'Chair']"
Work,Modern,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Practical,Durable,"['Sofa', 'Table', 'Lamp']"
Sleep,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,No,No,Comfortable,Durable,"['Sofa', 'Chair']"
Sleep,Industrial,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,No,Yes,Practical,Durable,"['Sofa', 'Table']"
Relax,Modern,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,No,No,No,Yes,Comfortable,None,"['Sofa', 'TV', 'Chair']"
Dining,Minimalist,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Play,Modern,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Dining,Minimalist,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Table', 'Chair']"
Play,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'Window']"
Relax,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Table', 'Chair']"
Play,Minimalist,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Window']"
Sleep,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,No,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Work,Modern,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Table', 'Chair']"
Work,Modern,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Traditional,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'TV']"
Sleep,Minimalist,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Dining,Modern,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Practical,None,"['Sofa', 'Table']"
Sleep,Modern,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,No,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Work,Industrial,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'Table', 'Lamp', 'Table']"
Work,Rustic,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Sleep,Traditional,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Sleep,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Table']"
Work,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Dining,Modern,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,No,Yes,No,Practical,Durable,"['Sofa', 'Lamp']"
Relax,Industrial,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'TV', 'Table', 'Chair']"
Relax,Industrial,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'TV', 'Chair']"
Sleep,Traditional,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Table', 'Chair']"
Relax,Industrial,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Comfortable,None,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Work,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Practical,None,"['Sofa', 'Table', 'Lamp']"
Work,Modern,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'Table']"
Sleep,Rustic,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Sleep,Minimalist,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Sleep,Traditional,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Dining,Industrial,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Relax,Minimalist,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Lamp', 'Table']"
Sleep,Industrial,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Play,Modern,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Modern,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Work,Modern,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,No,No,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Relax,Industrial,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,No,Practical,Easy to clean,"['Sofa', 'TV']"
Sleep,Minimalist,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Practical,Durable,"['Sofa', 'Table']"
Play,Modern,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Practical,Easy to clean,"['Sofa', 'Lamp']"
Relax,Minimalist,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,No,Practical,Easy to clean,"['Sofa', 'TV']"
Work,Industrial,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Dining,Minimalist,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Relax,Industrial,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,Durable,"['Sofa', 'TV']"
Relax,Industrial,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'TV', 'Lamp']"
Dining,Traditional,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Relax,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,None,"['Sofa', 'TV', 'Table', 'Chair']"
Work,Industrial,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Work,Rustic,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Dining,Modern,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Sleep,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Play,Traditional,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,No,Comfortable,None,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Traditional,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Practical,Durable,"['Sofa', 'Table']"
Relax,Rustic,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'TV', 'Lamp', 'Chair']"
Play,Industrial,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Dining,Modern,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,No,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Chair']"
Dining,Minimalist,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Play,Industrial,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,None,"['Sofa', 'Lamp']"
Work,Rustic,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Table', 'Chair']"
Play,Industrial,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Relax,Industrial,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Lamp']"
Work,Rustic,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,No,No,No,Practical,Easy to clean,"['Sofa', 'Table']"
Dining,Traditional,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,No,No,No,Practical,Durable,"['Sofa', 'Lamp']"
Play,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Chair']"
Sleep,Modern,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,Yes,Practical,None,"['Sofa', 'TV']"
